,open,high,low,close,volume,ticker,close_1,true_close_1,buy_profit,sell_profit
2021-05-18 14:21:00,126.69999694824219,126.7249984741211,126.65139770507812,126.6626968383789,87733.0,AAPL,126.56325,126.59320068359375,0.0,0.09944915771484375
2021-05-18 14:25:00,126.52010345458984,126.625,126.5,126.56500244140625,140393.0,AAPL,126.495026,126.57009887695312,-0.069976806640625,0.0
2021-05-18 14:31:00,126.7406005859375,126.79000091552734,126.69010162353516,126.77989959716797,135310.0,AAPL,126.595825,126.73909759521484,0.0,0.18407440185546875
2021-05-18 14:32:00,126.7698974609375,126.81539916992188,126.70999908447266,126.73909759521484,137631.0,AAPL,126.60357,126.77269744873047,-0.135528564453125,0.0
2021-05-18 14:36:00,126.63999938964844,126.66999816894531,126.58999633789062,126.62000274658203,166226.0,AAPL,126.56753,126.64510345458984,-0.0524749755859375,0.0
2021-05-18 14:37:00,126.62999725341797,126.69100189208984,126.62100219726562,126.64510345458984,126793.0,AAPL,126.563736,126.70500183105467,-0.08136749267578125,0.0
2021-05-18 14:49:00,126.5999984741211,126.7300033569336,126.58879852294922,126.71009826660156,167789.0,AAPL,126.5314,126.66000366210938,0.0,0.1786956787109375
2021-05-18 14:50:00,126.71990203857422,126.7699966430664,126.63999938964844,126.66000366210938,236784.0,AAPL,126.53981,126.67500305175781,-0.1201934814453125,0.0
2021-05-18 14:52:00,126.69000244140625,126.69999694824219,126.58999633789062,126.63990020751953,126752.0,AAPL,126.54502,126.65000152587892,-0.094879150390625,0.0
2021-05-18 14:53:00,126.62999725341797,126.65740203857422,126.62999725341797,126.6500015258789,9833.0,AAPL,126.55497,126.66000366210938,-0.09503173828125,0.0
2021-05-18 14:54:00,126.67150115966797,126.70500183105469,126.62000274658203,126.66000366210938,191548.0,AAPL,126.54802,126.68499755859374,-0.1119842529296875,0.0
2021-05-18 14:59:00,126.68000030517578,126.69999694824219,126.6050033569336,126.67500305175781,86469.0,AAPL,126.563934,126.66500091552736,0.0,0.1110687255859375
2021-05-18 15:00:00,126.68000030517578,126.69999694824219,126.61000061035156,126.66500091552734,109634.0,AAPL,126.563,126.66000366210938,0.0,0.10199737548828125
2021-05-18 15:05:00,126.80999755859375,126.86990356445312,126.76000213623047,126.7699966430664,151062.0,AAPL,126.632355,126.72429656982423,0.0,0.13764190673828125
2021-05-18 15:21:00,126.59700012207031,126.68000030517578,126.58999633789062,126.6187973022461,124980.0,AAPL,126.56215,126.57790374755858,0.0,0.05664825439453125
2021-05-18 15:22:00,126.61499786376953,126.63919830322266,126.54000091552734,126.5779037475586,155491.0,AAPL,126.53714,126.64499664306642,-0.04076385498046875,0.0
2021-05-18 15:26:00,126.63500213623047,126.6771011352539,126.62000274658203,126.62000274658203,89384.0,AAPL,126.54579,126.62999725341798,-0.07421112060546875,0.0
2021-05-18 15:27:00,126.62989807128906,126.62999725341797,126.58180236816406,126.62999725341797,94854.0,AAPL,126.54126,126.61000061035156,0.0,0.08873748779296875
2021-05-18 15:30:00,126.5999984741211,126.62000274658203,126.4800033569336,126.52999877929688,199155.0,AAPL,126.50276,126.49500274658202,0.0,0.0272369384765625
2021-05-18 15:32:00,126.48999786376953,126.5199966430664,126.4000015258789,126.40699768066406,143798.0,AAPL,126.4452,126.41999816894533,0.03820037841796875,0.0
2021-05-18 15:37:00,126.41500091552734,126.4800033569336,126.38500213623047,126.45999908447266,146882.0,AAPL,126.39135,126.48000335693358,-0.0686492919921875,0.0
2021-05-18 15:51:00,126.44499969482422,126.44999694824219,126.41999816894531,126.43000030517578,66341.0,AAPL,126.363335,126.37499999999999,0.0,0.0666656494140625
2021-05-18 15:57:00,126.40010070800781,126.40010070800781,126.33000183105469,126.33999633789062,82084.0,AAPL,126.34006,126.29000091552734,0.0,-6.103515625e-05
2021-05-18 15:58:00,126.33000183105469,126.34500122070312,126.28079986572266,126.29000091552734,111582.0,AAPL,126.31216,126.2750015258789,0.0,-0.02215576171875
2021-05-18 16:02:00,126.36499786376953,126.41000366210938,126.31500244140625,126.33999633789062,164204.0,AAPL,126.305336,126.37819671630858,-0.03466033935546875,0.0
2021-05-18 16:16:00,126.37000274658203,126.41000366210938,126.3386001586914,126.38500213623047,86637.0,AAPL,126.347176,126.3199996948242,0.0,0.0378265380859375
2021-05-18 16:19:00,126.30000305175781,126.33789825439453,126.28299713134766,126.31999969482422,80315.0,AAPL,126.30396,126.29000091552734,0.0,0.0160369873046875
2021-05-18 16:21:00,126.29000091552734,126.30000305175781,126.25,126.30000305175781,71659.0,AAPL,126.28551,126.31169891357423,-0.014495849609375,0.0
2021-05-18 16:22:00,126.30000305175781,126.3499984741211,126.29499816894531,126.31169891357422,90969.0,AAPL,126.28898,126.34500122070312,-0.0227203369140625,0.0
2021-05-18 16:26:00,126.36000061035156,126.42359924316406,126.36000061035156,126.39830017089844,71327.0,AAPL,126.33209,126.44000244140626,-0.0662078857421875,0.0
2021-05-18 16:28:00,126.44999694824219,126.45999908447266,126.3949966430664,126.43409729003906,100786.0,AAPL,126.36111,126.40499877929689,0.0,0.07299041748046875
2021-05-18 16:31:00,126.39199829101562,126.40989685058594,126.37000274658203,126.38159942626953,87712.0,AAPL,126.35473,126.37850189208983,0.0,0.0268707275390625
2021-05-18 16:33:00,126.37860107421875,126.46499633789062,126.37860107421875,126.44000244140625,89736.0,AAPL,126.36455,126.43009948730469,0.0,0.0754547119140625
2021-05-18 16:34:00,126.44999694824219,126.48999786376953,126.42500305175781,126.43009948730469,94168.0,AAPL,126.376945,126.41210174560548,0.0,0.05315399169921875
2021-05-18 16:39:00,126.3646011352539,126.37999725341797,126.3499984741211,126.35099792480469,52788.0,AAPL,126.34312,126.36100006103514,-0.00788116455078125,0.0
2021-05-18 16:41:00,126.36499786376953,126.39990234375,126.36000061035156,126.37000274658203,49145.0,AAPL,126.344475,126.37999725341797,-0.0255279541015625,0.0
2021-05-18 16:42:00,126.375,126.4000015258789,126.36000061035156,126.37999725341797,81972.0,AAPL,126.34496,126.35099792480469,0.0,0.0350341796875
2021-05-18 16:52:00,126.31009674072266,126.3499984741211,126.30999755859375,126.33999633789062,103574.0,AAPL,126.32151,126.36229705810547,-0.01848602294921875,0.0
2021-05-18 16:54:00,126.36100006103516,126.37989807128906,126.31999969482422,126.3385009765625,92734.0,AAPL,126.320724,126.34100341796876,-0.0177764892578125,0.0
2021-05-18 16:55:00,126.33499908447266,126.3499984741211,126.30999755859375,126.34100341796875,90356.0,AAPL,126.31546,126.33589935302734,0.0,0.025543212890625
