Datetime,Open,High,Low,Close,Volume
2021-07-23 15:45:00,148.5050048828125,148.55999755859375,148.49000549316406,148.53500366210938,0
2021-07-23 15:46:00,148.53399658203125,148.53399658203125,148.5,148.52000427246094,113050
2021-07-23 15:47:00,148.52000427246094,148.52999877929688,148.49000549316406,148.49960327148438,130636
2021-07-23 15:48:00,148.4949951171875,148.5,148.4600067138672,148.48500061035156,130736
2021-07-23 15:49:00,148.47999572753906,148.5500030517578,148.46499633789062,148.5399932861328,181002
2021-07-23 15:50:00,148.5500030517578,148.61000061035156,148.49000549316406,148.55499267578125,369124
2021-07-23 15:51:00,148.55999755859375,148.58999633789062,148.5399932861328,148.55999755859375,257568
2021-07-23 15:52:00,148.55999755859375,148.5800018310547,148.47000122070312,148.48500061035156,162247
2021-07-23 15:53:00,148.49000549316406,148.49000549316406,148.42999267578125,148.4499969482422,213057
2021-07-23 15:54:00,148.4499969482422,148.6300048828125,148.42999267578125,148.47999572753906,528694
2021-07-23 15:55:00,148.47000122070312,148.5,148.4199981689453,148.5,234120
2021-07-23 15:56:00,148.5,148.5500030517578,148.4600067138672,148.5,261581
2021-07-23 15:57:00,148.4949951171875,148.5800018310547,148.41000366210938,148.5601043701172,333130
2021-07-23 15:58:00,148.56500244140625,148.60000610351562,148.54319763183594,148.5850067138672,401109
2021-07-23 15:59:00,148.5850067138672,148.6199951171875,148.4199981689453,148.57000732421875,1033699
